# NASA Exoplanet Archive PSCompPars snapshot (shipped with the release)
# fetched: 2026-08-09T19:15:07Z
# endpoint: https://exoplanetarchive.ipac.caltech.edu/TAP/sync
# query: select pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur from pscomppars where tran_flag=1 and st_teff is not null and st_rad is not null and pl_radj is not null and pl_orbsmax is not null order by pl_name
# rows: 4355
pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur
HAT-P-46 b,,6120.00,4.250000,0.3000,[Fe/H],1.396000,9.9240000,1.28400000,0.49300000,Mass,0.0577000000,3.0984000
HAT-P-49 b,F3,6820.00,4.100000,0.0700,[Fe/H],2.060000,9.3460000,1.59000000,2.20000000,Mass,0.0437800000,4.1088000
HAT-P-5 b,G,5960.00,4.370000,0.2400,[Fe/H],1.120000,10.4810000,1.21000000,0.98000000,Mass,0.0407300000,2.9462464
HAT-P-50 b,F5,6280.00,4.072000,-0.1800,[Fe/H],1.698000,10.5000000,1.28800000,1.35000000,Mass,0.0453000000,3.6744000
HAT-P-51 b,G7,5453.00,4.425600,0.3020,[Fe/H],0.995000,11.6140000,1.20500000,0.30700000,Mass,0.0504200000,3.3672000
HAT-P-52 b,K1,5131.00,4.483000,0.2800,[Fe/H],0.893000,11.6210000,1.00900000,0.81800000,Mass,0.0369400000,2.4072000
HAT-P-53 b,,5956.00,4.310000,0.0000,[Fe/H],1.209000,12.1000000,1.31800000,1.48400000,Mass,0.0315900000,2.7936000
HAT-P-54 b,K7,4390.00,4.667000,-0.1270,[Fe/H],0.617000,10.3260000,0.94400000,0.76000000,Mass,0.0411700000,1.8114914
HAT-P-55 b,,5804.00,4.363000,0.0030,[Fe/H],1.105000,11.6270000,1.32400000,0.59600000,Mass,0.0462800000,2.9352000
HAT-P-56 b,F8,6566.00,3.390000,0.0000,[Fe/H],1.470000,9.8300000,1.51000000,2.31000000,Mass,0.0423000000,2.2599869
HAT-P-57 b,A8 V,6330.00,4.250000,-0.2500,[Fe/H],1.850000,9.4330000,1.74000000,1.41000000,Mass,0.0406000000,3.4987200
HAT-P-58 b,,6078.00,4.082000,-0.2240,[Fe/H],1.530000,10.9780000,1.33200000,0.37200000,Mass,0.0499400000,4.1500000
HAT-P-59 b,,5678.00,4.356000,0.2170,[Fe/H],1.103800,10.2080000,1.12300000,1.54000000,Mass,0.0506400000,2.3390000
HAT-P-6 b,,6570.00,4.220000,-0.1300,[Fe/H],1.620000,9.3130000,1.48000000,1.32000000,Mass,0.0523900000,3.5064000
HAT-P-60 b,,6212.00,3.911400,0.0370,[Fe/H],2.197000,8.3680000,1.63100000,0.57400000,Mass,0.0627700000,5.0350000
HAT-P-61 b,,5587.00,4.496000,0.1940,[Fe/H],0.938000,11.1410000,0.89900000,1.05700000,Mass,0.0301000000,1.6580000
HAT-P-62 b,,5629.00,4.312000,0.4140,[Fe/H],1.170000,10.7010000,1.07300000,0.76100000,Mass,0.0377200000,3.1030000
HAT-P-63 b,,5400.00,4.435000,0.2510,[Fe/H],0.966100,11.5120000,1.11900000,0.61400000,Mass,0.0429400000,2.9330000
HAT-P-64 b,,6457.00,4.072000,-0.1130,[Fe/H],1.735000,11.1230000,1.70300000,0.58000000,Mass,0.0538700000,4.9250000
HAT-P-65 b,G2,5872.00,4.107900,0.2080,[Fe/H],1.666000,11.5280000,1.61100000,0.55400000,Mass,0.0404200000,4.3656000
HAT-P-66 b,G0,6002.00,3.993000,0.0350,[Fe/H],1.881000,11.6750000,1.59000000,0.78300000,Mass,0.0436300000,4.6992000
HAT-P-67 b,,6640.00,3.840000,0.1400,[Fe/H],2.620000,8.9000000,2.14000000,0.45000000,Mass,0.0650500000,6.9888000
HAT-P-68 b,K,4508.00,4.615000,-0.0590,[Fe/H],0.670100,11.0190000,1.07200000,0.72400000,Mass,0.0299600000,2.0868000
HAT-P-69 b,,7394.00,4.110000,-0.0690,[Fe/H],1.926000,9.2800000,1.67600000,3.58000000,Mass,0.0655500000,5.1264000
HAT-P-7 b,F6 V,6389.00,4.070000,0.2600,[Fe/H],2.000000,9.3340000,1.51000000,1.84000000,Mass,0.0380900000,3.8821600
HAT-P-70 b,,8450.00,4.181000,-0.0590,[Fe/H],1.858000,8.9630000,1.87000000,6.78000000,Mass,0.0473900000,3.4800000
HAT-P-8 b,F6,6200.00,4.150000,0.0100,[Fe/H],1.570000,8.9530000,1.40000000,1.28000000,Mass,0.0449600000,3.9016058
HAT-P-9 b,F7,6350.00,4.293000,0.1200,[Fe/H],1.338000,11.0150000,1.39300000,0.74900000,Mass,0.0528700000,3.3600000
HATS-1 b,,5870.00,4.400000,-0.0600,[Fe/H],1.038000,10.5800000,1.30200000,1.85500000,Mass,0.0444000000,2.4168000
HATS-10 b,,5880.00,4.392000,0.1500,[Fe/H],1.105000,11.5110000,0.96900000,0.52600000,Mass,0.0449100000,3.0072000
HATS-11 b,G0,6563.00,4.190000,0.0300,[Fe/H],1.540000,12.2430000,1.60852886,0.83000000,Mass,0.0507000000,4.3684800
HATS-12 b,F,6357.00,4.360000,-0.1000,[Fe/H],1.170000,11.3910000,0.69230083,2.39000000,Mass,0.0441000000,4.5237600
HATS-13 b,,5523.00,4.524000,0.0500,[Fe/H],0.887000,11.9830000,1.21200000,0.54300000,Mass,0.0405700000,2.6347200
HATS-14 b,,5346.00,4.484000,0.3300,[Fe/H],0.933000,12.0370000,1.03900000,1.07100000,Mass,0.0381500000,2.6421600
HATS-15 b,G9 V,5311.00,4.449000,0.0000,[Fe/H],0.922000,12.7240000,1.10500000,2.17000000,Mass,0.0271200000,2.2696800
HATS-16 b,G3 V,5738.00,4.239000,-0.1000,[Fe/H],1.238000,12.2800000,1.30000000,3.27000000,Mass,0.0374400000,2.6208000
HATS-17 b,G V,5846.00,4.416000,0.3000,[Fe/H],1.091000,10.6980000,0.77700000,1.33800000,Mass,0.1308000000,4.8264000
HATS-18 b,G V,5600.00,4.436000,0.2800,[Fe/H],1.020000,12.2890000,1.32900000,1.97950000,Mass,0.0174000000,1.9440000
HATS-2 b,K,5227.00,4.510000,0.1500,[Fe/H],0.876000,11.3860000,1.12200000,1.37000000,Mass,0.0231700000,2.0688000
HATS-22 b,K V,4803.00,4.644000,0.0000,[Fe/H],0.689000,10.9420000,0.95300000,2.74000000,Mass,0.0502500000,2.1912000
HATS-23 b,G V,5780.00,4.328000,0.2800,[Fe/H],1.199000,12.2620000,1.86000000,1.47000000,Mass,0.0339700000,1.8048000
HATS-24 b,F V,6125.00,4.370000,-0.2290,[Fe/H],1.120000,11.3820000,1.39500000,2.26000000,Mass,0.0238000000,2.4074261
HATS-25 b,G,5715.00,4.347000,0.0200,[Fe/H],1.107000,11.4160000,1.26000000,0.61300000,Mass,0.0516300000,3.2040000
HATS-26 b,F,6071.00,3.936000,-0.0200,[Fe/H],2.040000,11.4350000,1.75000000,0.65000000,Mass,0.0473500000,5.2152000
HATS-27 b,F,6438.00,4.107000,0.0900,[Fe/H],1.740000,11.5500000,1.50000000,0.53000000,Mass,0.0611000000,4.8312000
HATS-28 b,G,5498.00,4.476000,0.0100,[Fe/H],0.922000,12.0860000,1.19400000,0.67200000,Mass,0.0413100000,2.3544000
HATS-29 b,G,5670.00,4.389000,0.1600,[Fe/H],1.073000,10.8770000,1.25100000,0.65300000,Mass,0.0547500000,3.2112000
HATS-3 b,F,6351.00,4.220000,-0.1570,[Fe/H],1.404000,10.6940000,1.38100000,1.07100000,Mass,0.0485000000,3.5856000
HATS-30 b,G,5943.00,4.425000,0.0600,[Fe/H],1.061000,10.7930000,1.17500000,0.70600000,Mass,0.0435400000,2.7504000
